@RELATION fitness

@ATTRIBUTE attribute_predictions STRING
@ATTRIBUTE objectsFound STRING
@ATTRIBUTE class {fitness}

@DATA
"no horizon, enclosed area, man-made, cloth, competing, working, sports, indoor lighting, exercise","martial_arts_gym",fitness
"no horizon, man-made, enclosed area, indoor lighting, metal, glossy, working, cloth, plastic","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, wood, cloth, natural light, glossy, indoor lighting, dry","beauty_salon",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, competing, sports, natural light, exercise","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, glossy, cloth, working, metal, stressful","server_room",fitness
"man-made, natural light, open area, no horizon, sunny, cloth, competing, asphalt, driving","?",fitness
"open area, natural light, no horizon, man-made, competing, sports, boating, sunny, exercise","arena/performance",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, warm, working, exercise","?",fitness
"open area, natural light, clouds, man-made, far-away horizon, sunny, cold, natural, no horizon","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, working, competing, metal, exercise","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, indoor lighting, metal, glossy, working, matte, competing","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, competing, open area, spectating, sports","arena/performance",fitness
"no horizon, natural light, man-made, open area, cloth, enclosed area, natural, dry, warm","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, glossy, working, scary, competing","?",fitness
"no horizon, man-made, cloth, natural light, enclosed area, open area, plastic, competing, socializing","stage/outdoor, arena/performance",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, congregating, spectating, working, competing","television_studio",fitness
"no horizon, man-made, enclosed area, cloth, natural light, glass, metal, working, wood","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, dry, socializing, natural light, warm","?",fitness
"enclosed area, no horizon, man-made, working, metal, indoor lighting, cloth, glossy, using tools","gymnasium/indoor",fitness
"no horizon, natural light, open area, man-made, sunny, cold, dry, snow, natural","?",fitness
"natural light, man-made, open area, sunny, no horizon, transporting, far-away horizon, driving, clouds","raceway",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, plastic, socializing, shopping, cluttered space","?",fitness
"man-made, no horizon, natural light, open area, competing, sports, cloth, sunny, dry","arena/rodeo",fitness
"no horizon, man-made, cloth, enclosed area, dry, natural light, warm, indoor lighting, vertical components","?",fitness
"no horizon, man-made, enclosed area, competing, cloth, sports, exercise, indoor lighting, natural light","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, metal, indoor lighting, glossy, working, using tools, railing","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, working, glossy, competing, metal","gymnasium/indoor",fitness
"no horizon, natural light, open area, man-made, dry, dirt, dirty, cloth, warm","?",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, exercise, stressful","martial_arts_gym",fitness
"enclosed area, man-made, no horizon, metal, natural light, competing, cloth, working, glossy","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, competing, exercise, metal, sports, natural light","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, metal, working, glossy, exercise","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, competing, indoor lighting, sports, exercise, spectating","arena/performance, television_studio",fitness
"open area, natural light, no horizon, foliage, vegetation, natural, trees, leaves, sunny","rope_bridge",fitness
"open area, natural light, clouds, sunny, man-made, natural, cold, far-away horizon, snow","sky",fitness
"no horizon, enclosed area, man-made, cloth, competing, vertical components, metal, sports, exercise","jail_cell",fitness
"man-made, no horizon, natural light, cloth, open area, competing, sports, enclosed area, sunny","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, carpet, competing, glossy, working","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, exercise, working","gymnasium/indoor, locker_room",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, glossy, metal, working, competing","beauty_salon",fitness
"enclosed area, no horizon, indoor lighting, man-made, glossy, cloth, working, socializing, metal","gymnasium/indoor, beauty_salon",fitness
"man-made, no horizon, cloth, natural light, enclosed area, competing, sports, exercise, open area","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, working, metal, cloth, matte","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, natural light, cloth, wood, working, glass, metal","?",fitness
"natural light, open area, foliage, trees, vegetation, leaves, man-made, sunny, grass","playground",fitness
"no horizon, enclosed area, man-made, metal, working, indoor lighting, glossy, cloth, competing","gymnasium/indoor",fitness
"natural light, open area, boating, far-away horizon, swimming, natural, sunny, still water, diving","?",fitness
"man-made, no horizon, enclosed area, metal, working, cloth, using tools, natural light, stressful","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, working, indoor lighting, cloth, glossy, metal, plastic","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, metal, working, cloth, indoor lighting, natural light, competing","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, sports, glossy, exercise","martial_arts_gym, gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, metal, cloth, competing, indoor lighting, working, sports","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, wood, cloth, natural light, glossy, indoor lighting, warm","beauty_salon",fitness
"enclosed area, no horizon, man-made, cloth, glass, glossy, natural light, indoor lighting, metal","bow_window/indoor",fitness
"no horizon, man-made, enclosed area, metal, cloth, competing, exercise, working, indoor lighting","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, using tools, competing, natural light","gymnasium/indoor",fitness
"man-made, no horizon, natural light, cloth, open area, competing, sports, enclosed area, sunny","martial_arts_gym, boxing_ring",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, metal, glossy, competing, matte","gymnasium/indoor",fitness
"open area, natural light, no horizon, man-made, clouds, boating, transporting, far-away horizon, natural","landing_deck",fitness
"no horizon, natural light, open area, natural, foliage, leaves, trees, vegetation, moist","?",fitness
"no horizon, man-made, cloth, enclosed area, competing, sports, natural light, exercise, working","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, natural light, cloth, wood, working, plastic, concrete","sandbox",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, metal, working, vertical components, glossy","jail_cell",fitness
"no horizon, enclosed area, cloth, man-made, indoor lighting, competing, working, stressful, exercise","?",fitness
"no horizon, man-made, enclosed area, metal, indoor lighting, glossy, working, using tools, railing","?",fitness
"no horizon, enclosed area, man-made, cloth, competing, indoor lighting, sports, exercise, warm","martial_arts_gym, boxing_ring",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, glossy, competing, working, exercise","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, competing, indoor lighting, sports, exercise, spectating","arena/performance, television_studio, orchestra_pit",fitness
"no horizon, man-made, enclosed area, cloth, working, natural light, warm, stressful, indoor lighting","beauty_salon",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, competing, metal, exercise, sports","?",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, working, glossy, metal, stressful","beauty_salon",fitness
"natural light, open area, no horizon, vegetation, foliage, sunny, rugged scene, leaves, man-made","rope_bridge",fitness
"natural light, open area, man-made, no horizon, sunny, clouds, touring, metal, cold","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, cloth, competing, sports, glossy, exercise","martial_arts_gym, boxing_ring",fitness
"no horizon, man-made, enclosed area, cloth, natural light, glass, working, indoor lighting, metal","beauty_salon",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, competing, sports, exercise, working","martial_arts_gym, gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, cloth, competing, glossy, working, exercise","gymnasium/indoor, martial_arts_gym",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, indoor lighting, congregating, exercise","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, cloth, indoor lighting, working, metal, glossy, competing","gymnasium/indoor",fitness
"man-made, enclosed area, no horizon, cloth, working, natural light, indoor lighting, congregating, competing","gymnasium/indoor",fitness
"no horizon, man-made, grass, enclosed area, cloth, natural light, competing, sports, playing","office_cubicles",fitness
"no horizon, enclosed area, man-made, cloth, working, competing, indoor lighting, stressful, wood","martial_arts_gym, beauty_salon",fitness
"no horizon, enclosed area, man-made, indoor lighting, glossy, working, cloth, glass, metal","beauty_salon, gymnasium/indoor",fitness
"natural light, open area, man-made, clouds, sunny, vertical components, no horizon, touring, metal","sky",fitness
"natural light, open area, no horizon, natural, vegetation, foliage, trees, leaves, grass","?",fitness
"natural light, open area, man-made, cloth, grass, competing, sports, sunny, exercise","athletic_field/outdoor, soccer_field",fitness
"man-made, no horizon, enclosed area, cloth, natural light, metal, vertical components, competing, wood","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, working, cloth, indoor lighting, competing, matte, stressful","?",fitness
"man-made, no horizon, natural light, wood, open area, cloth, enclosed area, vertical components, fencing","barndoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, indoor lighting, vertical components, glossy, working","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, metal, working, indoor lighting, glossy, stressful","gymnasium/indoor",fitness
"man-made, natural light, open area, cloth, no horizon, competing, sports, enclosed area, metal","?",fitness
"no horizon, enclosed area, man-made, competing, natural light, indoor lighting, sports, exercise, cloth","martial_arts_gym",fitness
"enclosed area, no horizon, man-made, indoor lighting, cloth, glossy, competing, exercise, sports","gymnasium/indoor",fitness
"natural light, open area, far-away horizon, sunny, natural, clouds, man-made, cold, snow","ski_slope",fitness
"natural light, open area, man-made, boating, far-away horizon, metal, sunny, ocean, no horizon","?",fitness
"no horizon, man-made, natural light, cloth, open area, dry, working, dirt, dirty","arena/rodeo",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, plastic, competing, working, shopping","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, metal, stressful","gymnasium/indoor",fitness
"man-made, no horizon, natural light, enclosed area, metal, transporting, concrete, working, competing","?",fitness
"enclosed area, no horizon, man-made, cloth, glass, metal, glossy, working, indoor lighting","gymnasium/indoor",fitness
"natural light, open area, man-made, no horizon, sunny, vegetation, still water, moist, foliage","?",fitness
"no horizon, man-made, enclosed area, metal, working, cloth, using tools, vertical components, natural light","gymnasium/indoor",fitness
"man-made, no horizon, natural light, trees, open area, foliage, leaves, vegetation, exercise","kennel/outdoor",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, metal, vertical components, working, glossy","gymnasium/indoor",fitness
"natural light, man-made, open area, no horizon, trees, foliage, playing, competing, grass","volleyball_court/outdoor",fitness
"no horizon, enclosed area, man-made, cloth, metal, working, using tools, competing, stressful","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, competing, natural light, asphalt, exercise, sports","gymnasium/indoor",fitness
"grass, no horizon, competing, sports, natural light, open area, cloth, playing, exercise","athletic_field/outdoor, soccer_field",fitness
"no horizon, man-made, natural light, dry, open area, enclosed area, warm, sand, exercise","?",fitness
"natural light, open area, foliage, vegetation, leaves, trees, no horizon, natural, grass","rope_bridge",fitness
"no horizon, man-made, enclosed area, metal, working, cloth, indoor lighting, glass, glossy","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, metal, working, using tools, competing, stressful","gymnasium/indoor",fitness
"natural light, open area, foliage, trees, vegetation, leaves, man-made, sunny, grass","playground",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, exercise, sports, glossy","martial_arts_gym",fitness
"natural light, open area, man-made, foliage, no horizon, vegetation, trees, sunny, leaves","rice_paddy",fitness
"no horizon, cloth, enclosed area, natural light, man-made, competing, sports, exercise, warm","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, competing, metal, stressful","boxing_ring",fitness
"no horizon, enclosed area, man-made, cloth, working, indoor lighting, stressful, metal, competing","?",fitness
"no horizon, man-made, enclosed area, cloth, working, metal, indoor lighting, natural light, competing","gymnasium/indoor",fitness
"natural light, open area, sunny, vegetation, natural, foliage, boating, swimming, still water","?",fitness
"man-made, no horizon, enclosed area, metal, working, cloth, glossy, natural light, using tools","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, stressful, metal, competing","?",fitness
"no horizon, enclosed area, man-made, working, indoor lighting, metal, cloth, competing, exercise","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, plastic, glossy, competing","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, working, metal, cloth, matte","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, working, cloth, metal, glossy, indoor lighting, glass","gymnasium/indoor, beauty_salon",fitness
"no horizon, man-made, enclosed area, wood, metal, cloth, competing, exercise, working","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, metal, cloth, glass, glossy, indoor lighting, working","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, metal, working, natural light, indoor lighting, cloth, vertical components","gymnasium/indoor, server_room",fitness
"no horizon, enclosed area, man-made, cloth, competing, vertical components, exercise, sports, indoor lighting","jail_cell",fitness
"man-made, enclosed area, no horizon, cloth, working, indoor lighting, metal, competing, glossy","beauty_salon",fitness
"no horizon, man-made, enclosed area, cloth, natural light, metal, glass, working, vertical components","?",fitness
"no horizon, cloth, man-made, enclosed area, working, competing, stressful, indoor lighting, sports","martial_arts_gym, boxing_ring",fitness
"no horizon, cloth, enclosed area, man-made, competing, sports, working, natural light, stressful","boxing_ring, martial_arts_gym",fitness
"no horizon, man-made, enclosed area, metal, cloth, working, vertical components, using tools, indoor lighting","jail_cell",fitness
"no horizon, man-made, indoor lighting, enclosed area, spectating, open area, competing, congregating, sports","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, open area, working, paper, sunny","booth/indoor",fitness
"no horizon, enclosed area, indoor lighting, natural, cloth, man-made, spectating, scary, soothing","stage/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, working, competing, natural light, sports","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, open area, natural light, competing, indoor lighting, sports, cloth","?",fitness
"no horizon, enclosed area, man-made, cloth, soothing, medical activity, natural light, sterile, warm","?",fitness
"no horizon, man-made, enclosed area, competing, cloth, natural light, indoor lighting, sports, plastic","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, glossy, competing, swimming, sports","martial_arts_gym",fitness
"enclosed area, no horizon, man-made, cloth, working, indoor lighting, metal, glossy, competing","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, metal, working, cloth, using tools, natural light, vertical components","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, metal, competing, working, sports, exercise","gymnasium/indoor",fitness
"natural light, foliage, vegetation, open area, leaves, no horizon, trees, shrubbery, natural","rope_bridge",fitness
"no horizon, natural light, open area, man-made, natural, competing, boating, sports, exercise","?",fitness
"natural light, open area, man-made, foliage, no horizon, vegetation, trees, sunny, moist","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, metal, cloth, working, exercise","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, metal, working, cloth, indoor lighting, competing, using tools","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, metal, working, indoor lighting, cloth, glossy, using tools","server_room",fitness
"man-made, no horizon, natural light, enclosed area, cloth, wood, open area, working, warm","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, working, metal, cloth, glossy, exercise","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, competing, sports, exercise, indoor lighting, glossy","?",fitness
"no horizon, man-made, enclosed area, metal, natural light, glossy, glass, cloth, working","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, metal, natural light, glass, glossy, indoor lighting","gymnasium/indoor",fitness
"man-made, no horizon, natural light, cloth, open area, metal, vertical components, railing, glass","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, metal, working, cloth, glossy, using tools","television_studio",fitness
"no horizon, enclosed area, man-made, cloth, working, metal, indoor lighting, competing, stressful","?",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, cloth, metal, working, competing","gymnasium/indoor, beauty_salon",fitness
"natural light, open area, no horizon, natural, rugged scene, sunny, dirt, hiking, climbing","rope_bridge",fitness
"no horizon, cloth, enclosed area, natural light, man-made, warm, competing, sports, socializing","?",fitness
"no horizon, enclosed area, man-made, cloth, competing, sports, exercise, indoor lighting, metal","boxing_ring, jail_cell",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, exercise, plastic, metal","gymnasium/indoor, martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, competing, cloth, exercise, sports, glossy","locker_room",fitness
"man-made, no horizon, enclosed area, metal, working, cloth, using tools, natural light, indoor lighting","gymnasium/indoor",fitness
"man-made, natural light, no horizon, open area, wood, metal, sunny, vertical components, railing","barndoor",fitness
"no horizon, man-made, enclosed area, competing, cloth, sports, exercise, indoor lighting, natural light","?",fitness
"no horizon, man-made, grass, enclosed area, natural light, cloth, playing, open area, competing","?",fitness
"man-made, natural light, no horizon, open area, competing, playing, sports, trees, exercise","playground",fitness
"no horizon, man-made, natural light, wood, enclosed area, cloth, metal, open area, fencing","barndoor",fitness
"no horizon, man-made, enclosed area, cloth, competing, indoor lighting, sports, working, exercise","martial_arts_gym",fitness
"no horizon, enclosed area, competing, man-made, sports, cloth, natural light, exercise, open area","martial_arts_gym",fitness
"man-made, no horizon, natural light, open area, competing, metal, sports, transporting, driving","raceway",fitness
"no horizon, natural light, open area, vegetation, grass, foliage, leaves, natural, trees","rope_bridge",fitness
"no horizon, enclosed area, man-made, metal, working, indoor lighting, glossy, cloth, using tools","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, working, indoor lighting, cloth, metal, glossy, using tools","gymnasium/indoor",fitness
"man-made, no horizon, enclosed area, cloth, glossy, metal, working, natural light, indoor lighting","gymnasium/indoor",fitness
"man-made, no horizon, natural light, cloth, competing, enclosed area, open area, sports, exercise","martial_arts_gym",fitness
"no horizon, man-made, enclosed area, metal, cloth, working, competing, using tools, indoor lighting","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, competing, cloth, exercise, sports, natural light, indoor lighting","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, sports, exercise, spectating","martial_arts_gym",fitness
"man-made, no horizon, enclosed area, indoor lighting, metal, glossy, working, natural light, matte","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, cloth, competing, metal, sports, exercise, indoor lighting","gymnasium/indoor, boxing_ring",fitness
"enclosed area, no horizon, man-made, cloth, competing, exercise, sports, metal, indoor lighting","gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, working, metal, cloth, wood, using tools, glass","?",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, metal, working, glossy, competing","gymnasium/indoor",fitness
"no horizon, natural light, open area, vegetation, foliage, leaves, trees, natural, grass","?",fitness
"natural light, no horizon, open area, man-made, cloth, dirt, dry, dirty, pavement","archaelogical_excavation",fitness
"no horizon, man-made, cloth, enclosed area, working, competing, metal, indoor lighting, using tools","martial_arts_gym, gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, working, stressful, indoor lighting, competing, metal","dressing_room, jail_cell",fitness
"no horizon, man-made, cloth, enclosed area, indoor lighting, competing, natural light, sports, exercise","?",fitness
"no horizon, man-made, enclosed area, natural light, cloth, dry, plastic, wood, working","sandbox",fitness
"no horizon, enclosed area, man-made, metal, cloth, glossy, matte, competing, working","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, working, metal, cloth, exercise, glossy","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, natural light, dry, warm, competing, indoor lighting","?",fitness
"man-made, natural light, no horizon, open area, competing, playing, sports, trees, exercise","playground",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, competing, glossy, exercise, sports","gymnasium/indoor",fitness
"no horizon, man-made, enclosed area, metal, working, plastic, natural light, competing, cloth","gymnasium/indoor, amusement_arcade",fitness
"man-made, natural light, no horizon, enclosed area, metal, cloth, glass, competing, exercise","gymnasium/indoor",fitness
"no horizon, cloth, enclosed area, man-made, working, natural light, competing, stressful, warm","martial_arts_gym, boxing_ring",fitness
"no horizon, cloth, natural light, competing, natural, open area, foliage, man-made, sports","underwater/ocean_deep",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, working, metal, competing, stressful","?",fitness
"man-made, no horizon, enclosed area, cloth, glossy, working, metal, natural light, indoor lighting","gymnasium/indoor",fitness
"enclosed area, no horizon, man-made, indoor lighting, metal, glossy, working, glass, wood","bus_interior",fitness
"no horizon, enclosed area, man-made, metal, indoor lighting, glossy, working, using tools, transporting","?",fitness
"no horizon, man-made, enclosed area, cloth, plastic, natural light, shopping, paper, dry","?",fitness
"no horizon, natural light, cloth, enclosed area, man-made, open area, warm, competing, exercise","martial_arts_gym",fitness
"no horizon, enclosed area, man-made, indoor lighting, glossy, cloth, glass, metal, matte","?",fitness
"enclosed area, no horizon, indoor lighting, man-made, cloth, competing, glossy, sports, exercise","gymnasium/indoor, martial_arts_gym",fitness
"no horizon, man-made, enclosed area, indoor lighting, cloth, competing, wood, dry, spectating","?",fitness
"no horizon, man-made, natural light, open area, cloth, competing, plastic, sports, sunny","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, working, sports, stressful","?",fitness
"man-made, no horizon, natural light, open area, sunny, touring, dry, cloth, enclosed area","?",fitness
"man-made, natural light, no horizon, open area, driving, transporting, asphalt, plastic, biking","?",fitness
"natural light, open area, no horizon, man-made, cold, sports, exercise, competing, cloth","?",fitness
"no horizon, man-made, cloth, enclosed area, indoor lighting, competing, open area, natural light, sports","arena/performance",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, competing, glossy, sports, spectating","arena/performance",fitness
"no horizon, cloth, natural light, open area, man-made, boating, sunny, competing, ocean","?",fitness
"no horizon, enclosed area, man-made, cloth, natural light, open area, indoor lighting, working, cold","?",fitness
"no horizon, enclosed area, man-made, cloth, indoor lighting, congregating, socializing, working, spectating","home_theater, movie_theater/indoor",fitness
"no horizon, enclosed area, man-made, metal, indoor lighting, cloth, working, glossy, competing","television_studio, gymnasium/indoor",fitness
"no horizon, enclosed area, man-made, cloth, working, indoor lighting, railing, metal, stressful","jail_cell",fitness
"no horizon, man-made, enclosed area, cloth, competing, sports, exercise, indoor lighting, asphalt","martial_arts_gym",fitness
"man-made, no horizon, enclosed area, natural light, metal, cloth, open area, matte, working","?",fitness
"no horizon, man-made, enclosed area, competing, cloth, exercise, sports, natural light, asphalt","gymnasium/indoor, boxing_ring",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, competing, socializing, working, sports","boxing_ring, martial_arts_gym",fitness
"no horizon, man-made, grass, competing, enclosed area, playing, sports, exercise, natural light","recreation_room",fitness
"no horizon, man-made, enclosed area, cloth, metal, competing, exercise, working, sports","gymnasium/indoor",fitness
"enclosed area, man-made, no horizon, metal, glossy, working, cloth, indoor lighting, natural light","?",fitness
"man-made, no horizon, cloth, natural light, competing, enclosed area, sports, open area, exercise","martial_arts_gym",fitness
"enclosed area, man-made, no horizon, metal, cloth, glossy, working, indoor lighting, competing","?",fitness
"man-made, natural light, open area, no horizon, cloth, sunny, competing, touring, spectating","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, plastic, warm, indoor lighting, shopping","?",fitness
"no horizon, man-made, enclosed area, cloth, competing, plastic, indoor lighting, natural light, sports","?",fitness
"no horizon, man-made, cloth, enclosed area, natural light, indoor lighting, working, open area, competing","beauty_salon",fitness
"man-made, no horizon, natural light, open area, cloth, metal, railing, enclosed area, horizontal components","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, congregating, competing, natural light, warm","?",fitness
"no horizon, man-made, natural light, open area, enclosed area, cloth, indoor lighting, metal, touring","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, competing, sports, open area, plastic","?",fitness
"no horizon, man-made, natural light, cloth, open area, enclosed area, indoor lighting, spectating, congregating","?",fitness
"no horizon, man-made, enclosed area, cloth, natural light, indoor lighting, competing, working, sports","?",fitness
"no horizon, man-made, enclosed area, cloth, indoor lighting, working, competing, open area, stressful","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, aged, metal, dry, scary, vertical components","jail_cell",fitness
"no horizon, enclosed area, man-made, indoor lighting, cloth, wood, socializing, working, grass","?",fitness
"no horizon, man-made, enclosed area, indoor lighting, working, metal, trees, natural, scary","?",fitness
"man-made, no horizon, natural light, cloth, competing, sports, open area, enclosed area, exercise","martial_arts_gym, boxing_ring",fitness
"man-made, natural light, no horizon, enclosed area, metal, cloth, glass, working, vertical components","gymnasium/indoor",fitness
"natural light, open area, man-made, no horizon, far-away horizon, transporting, clouds, cloth, competing","runway",fitness
"enclosed area, no horizon, man-made, indoor lighting, glossy, working, metal, cloth, matte","gymnasium/indoor",fitness
"no horizon, man-made, cloth, enclosed area, working, competing, metal, sports, stressful","martial_arts_gym, gymnasium/indoor, stage/outdoor",fitness
